By MaMe82

Funtion addresses from manual reversing of
CHIP_VER_BCM43430a1, FW_VER_7_45_41_46

1) Not all functions are validate, especially the ones prepended with MAYBE

2) Some functions aren't used by the firmware (or exist twice, in RAM and ROM) because
reversing was done without considering flashpatches
For example: wlc_ap_process_assocreq has been found at 0x00839398, but is overwritten
by a vendor flashpatch and moved to RAM at 0x18994 with a branch. This list doesn't
account for such cases, as the flashpatches haven't been applied during reversing.

0x00002390   18 0    -> 116  memcpy
0x00002784    3 0    -> 24   hndrte_del_timer
0x00003550   19 0    -> 326  dngl_sendpkt
0x00004294   25 0    -> 220  handle_sdio_xmit_request
0x00004408   13 0    -> 150  ai_clear_backplane_to_per_core
0x00004906    3 0    -> 30   bcmerrorstr
0x00004930   15 0    -> 116  prhex
0x00006348    8 0    -> 56   pkt_buf_get_skb
0x0000638c    0 0            pkt_buf_free_skb
0x00007fe4   33 0    -> 294  wl_send
0x000081f4    1 0    -> 34   wl_dump_ver
0x000091fc    5 0    -> 56   wlc_frameaction_vs
0x00009276   14 0    -> 142  wlc_watchdog_upd
0x00009350   54 0    -> 574  _wlc_iovar_op
0x00009ab4   20 0    -> 334  wlc_cap_bcmstrbuf
0x00009c74    1 0    -> 28   wlc_cap
0x00009ed6    5 0    -> 144  wlc_get_txh_info
0x0000a024  533 0    -> 4568 wlc_d11n_hdrs
0x0000b542    3 0    -> 106  MAYBE_wlc_eventq_test_ind
0x0000ddb8   22 0    -> 198  wlc_sendctl
0x0000f43c   40 0    -> 310  MAYBE_wlc_set_pmstate
0x0000f680   22 0    -> 218  wlc_txfifo
0x0000fcac   75 0    -> 910  wlc_init
0x0001047a   55 0    -> 532  wlc_recv_mgmtact
0x0001068e  151 0    -> 1234 MAYBE_wlc_watchdog
0x00010b60   54 0    -> 620  MAYBE_wlc_recv_bcn
0x00012320  240 0    -> 2278 wlc_recvdata
0x00012c26   41 0    -> 410  wlc_recv
0x0001656e   18 0    -> 144  MAYBE_wlc_ampdu_null_delim_cnt
0x0001c0aa   11 0    -> 106  wlc_bmac_enable_mac
0x0001d1f0    5 0    -> 36   wlc_bsscfg_find
0x0001d590   23 0    -> 540  wlc_bsscfg_init
0x0001d5a0    0 0            wlc_bsscfg_init
0x00022ff6    1 0    -> 36   phy_reg_mod
0x00023688    1 0    -> 4    MAYBE_wlc_stf_d11hdrs_phyctl_txant
0x000236a4    5 0    -> 32   wlc_phy_channel2freq
0x00024830    1 0    -> 10   wlc_phy_lpc_set_txcpwrval
0x00032126    1 0    -> 8    wlc_stf_get_pwrperrate
0x00803b14   12 0    -> 76   memset
0x00803b60    8 0    -> 120  printf
0x00803be0    1 0    -> 24   sprintf
0x00803c8c   18 0    -> 72   strncmp
0x00803cd4    7 0    -> 40   strncpy
0x00803dc0   92 0    -> 492  vsnprintf
0x00804004    5 0    -> 56   bcm_bprintf
0x0080403c    3 0    -> 32   bcm_chipname
0x008040ec    3 0    -> 46   bcm_ether_ntoa
0x00804318    7 0    -> 38   bcm_parse_tlvs
0x00804340    8 0    -> 64   bcm_print_bytes
0x008047a4    1 0    -> 22   MAYBE_clrbit
0x00805008    7 0    -> 76   MAYBE_wlc_p2p_process_prbreq_ext
0x00805048    3 0    -> 36   MAYBE_wf_chspec_ctlchspec
0x00807b24    3 0    -> 30   hndrte_add_timer
0x00807c24    5 0    -> 28   hndrte_free_timer
0x00807cb4    3 0    -> 54   hndrte_init_timer
0x00807e60    5 0    -> 46   hndrte_schedule_work
0x00807f24    1 0    -> 16   hndrte_time_ms
0x008081f0    3 0    -> 28   udelay
0x008139ec   11 0    -> 120  MAYBE_wl_eventq_copy_event
0x00813b50   19 0    -> 162  wl_eventq_dup_eventt
0x00813bc8   15 0    -> 162  wl_eventq_register_event_cb
0x00813c78    9 0    -> 42   wl_eventq_unregister_event_cb
0x00813cf8    4 0    -> 50   wl_gas_get_wlcif
0x00814a9c   27 0    -> 328  wl_nd_ra_intercept_packet
0x00815160   10 0    -> 154  wl_lwip_init
0x00815228    8 0    -> 88   wl_lwip_linkoutput
0x008152ec   13 0    -> 152  wl_nwoe_recv_proc
0x008154e0   41 0    -> 600  wl_p2po_event_cb
0x008159be   10 0    -> 82   wl_p2po_gas_config
